dobih_number,name,height_m,height_ft,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,latitude,longitude,nearest_center,min_distance_km,nearest_center_lat,nearest_center_lon
864,Mullach Fraoch-choire,1102.0,3615.0,209491.0,817151.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.20540139807602,-5.1556579769935595,Inverinate,18.768717659820805,57.2428829,-5.4596682
865,Mullach Fraoch-choire NE Top,1047.0,3435.0,209925.0,817371.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.20755487342686,-5.14865329598602,Inverinate,19.128931098412888,57.2428829,-5.4596682
862,A' Chraileag [A' Chralaig],1120.0,3675.0,209431.0,814791.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.184208884173565,-5.154842479512655,Inverinate,19.47954986137372,57.2428829,-5.4596682
866,A' Chraileag - Stob Coire na Craileig [Stob Coire na Cralaig],1008.0,3307.0,209140.0,816310.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.197712205881516,-5.160813742427127,Inverinate,18.679596119326508,57.2428829,-5.4596682
872,A' Chraileag - A' Chioch,946.6,3106.0,210896.0,815355.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.1898740996888,-5.131071883841804,Inverinate,20.643639988394025,57.2428829,-5.4596682
867,Sail Chaorainn,999.2,3278.0,213313.0,815442.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.1916449367645,-5.091205480431644,Tomich,21.008538247805532,57.3052421,-4.8121467
869,Sail Chaorainn - Carn na Coire Mheadhoin,997.9,3274.0,213432.0,815881.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.19563115110987,-5.089568436738281,Tomich,20.664723148322143,57.3052421,-4.8121467
873,Sail Chaorainn - Tigh Mor na Seilge,927.4,3043.0,214029.0,816615.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.20245767202456,-5.080252279437543,Tomich,19.765276212982098,57.3052421,-4.8121467
874,Sail Chaorainn - Carn a' Mhadaidh-ruaidh,919.2,3016.0,214027.0,814735.0,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,57.185593337624155,-5.078880506155448,Tomich,20.844912687741527,57.3052421,-4.8121467
863,Sgurr nan Conbhairean,1109.0,3638.0,212988.0,813896.0,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,57.17764512682123,-5.095414144812361,Invergarry,21.245444023897324,57.0697214,-4.8049621
